benchmark,variant_dir,scale,variant_num,status,cycles,instructions,wallclock_s
libedn,variant_9,0.007,0,PASS,6270348,3434949,9.587
libedn,variant_10,0.01,0,PASS,6269644,3434245,10.355
libedn,variant_11,0.015,0,PASS,6269644,3434245,10.308
libedn,variant_12,0.02,0,PASS,6269644,3434245,8.889
libedn,variant_13,0.03,0,PASS,6269644,3434245,10.555
libedn,variant_14,0.05,0,PASS,6259612,3426821,9.991
libedn,variant_15,0.07,0,PASS,6259612,3426821,10.198
libedn,variant_16,0.1,0,PASS,6259612,3426821,10
libedn,variant_17,0.15,0,PASS,6259612,3426821,10.216
libedn,variant_18,0.2,0,PASS,6259612,3426821,8.835
libedn,variant_19,0.3,0,PASS,6259614,3426823,9.744
libedn,variant_20,0.4,0,PASS,6259605,3426814,9.112
libedn,variant_21,0.5,0,PASS,6259605,3426813,9.047
libedn,variant_22,0.6,0,PASS,6259605,3426813,9.051
libedn,variant_23,0.7,0,PASS,6259605,3426813,9.098
libedn,variant_24,0.85,0,PASS,6259605,3426813,9.243
libedn,variant_25,0.9,0,PASS,6259605,3426813,9.275
libedn,variant_26,1,0,PASS,6259605,3426813,10.315
libhuffbench,variant_original,original,,PASS,3486352,2268907,8.843
libhuffbench,variant_gp,gp,,PASS,3486352,2268907,7.861
libhuffbench,variant_0,0,0,PASS,4190505,2828697,9.432
libhuffbench,variant_1,0.0001,0,PASS,4086343,2826134,9.394
libhuffbench,variant_2,0.0002,0,PASS,4086343,2826134,7.223
libhuffbench,variant_3,0.0005,0,PASS,3905337,2677137,6.932
libhuffbench,variant_4,0.001,0,PASS,3563889,2340417,8.109
libhuffbench,variant_5,0.0015,0,PASS,3563889,2340417,8.658
libhuffbench,variant_6,0.002,0,PASS,3563889,2340417,8.475
libhuffbench,variant_7,0.003,0,PASS,3509721,2286249,7.887
libhuffbench,variant_8,0.005,0,PASS,3499869,2276397,6.117
libhuffbench,variant_9,0.007,0,PASS,3499857,2276385,8.304
libhuffbench,variant_10,0.01,0,PASS,3499881,2276409,5.805
libhuffbench,variant_11,0.015,0,PASS,3493687,2276217,8.261
libhuffbench,variant_12,0.02,0,PASS,3487543,2270073,5.855
