application_name,gp_area,gp_freq,gp_latency,gp_power,original_area,original_area_reduction_pct,original_freq,original_freq_improvement_pct,original_latency,original_latency_reduction_pct,original_power,original_power_reduction_pct,min_area_variant,min_area_value,min_area_reduction_pct,min_area_freq,min_area_freq_improvement_pct,min_area_latency,min_area_latency_reduction_pct,min_area_power,min_area_power_reduction_pct
md5,126176.0128,22,0.08245536364,3.12,89336.9312,29.196580859999997,26.38,19.909090899999992,0.06876489765,16.603487490000003,2.86,8.333333330000004,15_uarchaware,89159.2608,29.337392409999996,27.96,27.090909100000005,0.06536269671,20.729599840000002,2.88,-0.699300699999994
mont64,126176.0128,22,0.2042778182,3.12,110885.0976,12.118718019999996,22.39,1.7727272999999988,0.200719607,1.7418490399999986,2.93,6.089743589999996,0_uarchaware,89159.2608,29.337392409999996,27.03,22.863636399999997,1.766961487,-764.979616,2.88,1.7064846400000055
patricia_O3,126176.0128,22,0.2279401818,3.12,123359.5616,2.232160559999996,20.9,-5.000000000000004,0.2399370335,-5.263157900000004,3.12,0.0,0_uarchaware,89405.7472,29.14204117,26.35,19.772727299999993,1.009351195,-342.8140696,2.86,8.333333330000004
picojpeg_test,126176.0128,22,0.1766361818,3.12,111242.9408,11.835111659999997,24.09,9.499999999999996,0.1613115816,8.675799090000002,2.96,5.128205129999996,0_uarchaware,90023.84,28.65217564,27.54,25.181818200000006,1.708310167,-867.1349038000001,2.86,3.3783783800000022
primecount,126176.0128,22,0.1953371364,3.12,111550.736,11.591170520000006,23.65,7.499999999999996,0.1817089641,6.9767441899999945,2.93,6.089743589999996,0_uarchaware,88840.2048,29.59025822,27.43,24.681818199999995,1.808812577,-825.9952363,2.88,1.7064846400000055
qsort_large_O3,126176.0128,22,0.7765520455,3.12,117756.688,6.672682559999998,23.16,5.272727299999991,0.7376573834,5.008635579999998,2.94,5.76923077,1_uarchaware,88873.9872,29.56348419,27.2,23.63636360000001,18.1337746,-2235.1653890000002,2.86,2.721088439999997
qsort_small_O3,126176.0128,22,1.352686545,3.12,89361.9552,29.176748239999995,27.76,26.181818200000006,1.072013833,20.74927954,2.86,8.333333330000004,15_uarchaware,86786.9856,31.217524100000006,28.11,27.7727273,1.058666275,21.736023849999995,2.86,0.0
rijndael_Oz,126176.0128,22,31.21829527,3.12,117843.0208,6.604260049999999,20.84,-5.272727269999999,32.9559739,-5.566218799999989,3.11,0.32051281999999626,3_uarchaware,107783.3728,14.576970369999998,22.8,3.636363599999992,30.12937675,3.488078090000002,2.93,5.787781349999999
sha_O3,126176.0128,22,0.5955254091,3.12,89365.7088,29.173773349999998,27.38,24.45454549999999,0.4785083638,19.649379109999998,2.86,8.333333330000004,24_uarchaware,86965.9072,31.075720920000006,28.18,28.090909100000005,0.4649240241,21.930447129999997,2.84,0.6993007000000051
tarfind,126176.0128,22,0.04110618182,3.12,111237.936,11.839078179999996,21.93,-0.3181818199999964,0.0412373917,-0.3191973999999931,2.95,5.448717950000004,1_uarchaware,89398.24,29.14799096,26.94,22.454545499999988,4.9721415,-11995.84856,2.86,3.0508474599999946
